task_name,index,test_recall,cuda_seed
cons,1,1.0,3859626490465337
cons,2,1.0,6827830188778788
cons,3,1.0,3239927116233092
cons,4,1.0,6482407981877955
cons,5,1.0,4496233546695246
cons,6,1.0,5428962365269799
cons,7,1.0,3367789366853002
cons,8,1.0,7432296624266688
cons,9,1.0,6767076309487654
cons,10,1.0,6815628139422246
lessthan,1,1.0,6009383861932078
lessthan,2,1.0,2807805012441691
lessthan,3,1.0,7817103945361828
lessthan,4,1.0,4591173754369925
lessthan,5,1.0,8597252407281288
lessthan,6,1.0,6812714993835774
lessthan,7,1.0,4305287689086862
lessthan,8,1.0,3318931755080645
lessthan,9,1.0,1856446483353306
pre,1,1.0,3907454558035474
pre,2,1.0,7267042435696104
pre,3,1.0,2509758780453192
pre,4,1.0,2212934876705481
pre,5,1.0,3377899458946361
pre,6,1.0,5182385013848100
pre,7,1.0,2927108168282552
pre,8,1.0,8249511573395680
pre,9,1.0,4562031670142264
pre,10,1.0,7767175783039851
son,1,1.0,7773632679259834
son,2,1.0,4060552588705372
son,3,1.0,6908757035580531
son,4,1.0,5407847998349532
son,5,1.0,615815781842868
son,6,1.0,1567287531774041
son,7,1.0,244095137592728
son,8,1.0,3007534660255729
son,9,1.0,804003509531553
son,10,1.0,488976898234790
even,1,1.0,8210817937987532
even,2,1.0,2002522641084185
even,3,1.0,8887914873010684
even,4,1.0,3946941959834836
even,5,1.0,2230936960686811
even,6,1.0,1542509106487604
even,7,1.0,1678203179545189
even,8,1.0,7022574027745596
even,9,1.0,1186386247867029
even,10,1.0,5100065139225864
gcor,1,1.0,4760687665680630
gcor,2,1.0,5908073367947474
gcor,3,1.0,2645175238489167
gcor,4,1.0,8337240021691751
gcor,5,1.0,243245012284013
gcor,6,1.0,4173602605763648
gcor,7,1.0,2956630429249615
gcor,8,1.0,1493769493158205
gcor,9,1.0,5755767891787977
gcor,10,1.0,3838229150538766
iscycle,1,1.0,4721859859775563
iscycle,2,1.0,6850363073546365
iscycle,3,1.0,176602671422165
iscycle,4,1.0,7721731242274679
iscycle,5,1.0,8904705680399927
