task_name,index,test_recall,cuda_seed
cons,1,1.0,3224129191252847
cons,2,1.0,281889969922735
cons,3,1.0,7477996924138088
cons,4,1.0,2721601512447964
cons,5,1.0,6721746751602551
cons,6,1.0,4716751654976481
cons,7,1.0,192160269325163
cons,8,1.0,3812188564109606
cons,9,1.0,8228849377731391
father,1,1.0,999325026268270
father,2,1.0,5419270121776402
father,3,1.0,1376095576062371
father,4,1.0,5413827914310743
father,5,1.0,6990478640780324
father,6,1.0,1890464388124350
father,7,1.0,2625622853720459
father,8,1.0,2651038233077386
father,9,1.0,6822502426089823
father,10,1.0,3945914241650992
lessthan,1,1.0,8759607748248972
lessthan,2,1.0,4963543864007059
lessthan,3,1.0,8223672708932339
lessthan,4,1.0,2303748066474024
lessthan,5,1.0,1651948542721776
lessthan,6,1.0,8609636179100408
lessthan,7,1.0,8020600413828860
lessthan,8,1.0,5058363293466407
lessthan,9,1.0,2139312933246481
lessthan,10,1.0,5938100800362892
TEST,1,1.0,7031546147870907
