textR,text1,text2
lessthan,0,1
lessthan,0,2
lessthan,0,3
lessthan,0,4
lessthan,0,5
lessthan,0,6
lessthan,0,7
lessthan,0,8
lessthan,0,9
lessthan,1,2
lessthan,1,3
lessthan,1,4
lessthan,1,5
lessthan,1,6
lessthan,1,7
lessthan,1,8
lessthan,1,9
lessthan,2,3
lessthan,2,4
lessthan,2,5
lessthan,2,6
lessthan,2,7
lessthan,2,8
lessthan,2,9
lessthan,3,4
lessthan,3,5
lessthan,3,6
lessthan,3,7
lessthan,3,8
lessthan,3,9
lessthan,4,5
lessthan,4,6
lessthan,4,7
lessthan,4,8
lessthan,4,9
lessthan,5,6
lessthan,5,7
lessthan,5,8
lessthan,5,9
lessthan,6,7
lessthan,6,8
lessthan,6,9
lessthan,7,8
lessthan,7,9
lessthan,7,8
lessthan,7,9
lessthan,8,9
zero,0,0
succ,0,1
succ,1,2
succ,2,3
succ,3,4
succ,4,5
succ,5,6
succ,6,7
succ,7,8
succ,8,9
