task_name,index,test_recall,cuda_seed,running_time
cons,1,1.0,2092174147203846,5.47
cons,2,1.0,340474173260161,5.46
cons,3,1.0,5715177890647027,5.46
cons,4,1.0,7524320207423391,5.43
cons,5,1.0,5809885623077014,5.61
cons,6,1.0,906469792859041,5.78
cons,7,1.0,3101476370943372,5.72
cons,8,1.0,3321693272195473,7.61
cons,9,1.0,8858696745866047,5.85
cons,10,1.0,284218025147565,5.85
father,1,1.0,351299250163429,5.25
father,2,1.0,1697015861125642,5.32
father,3,1.0,7101669577576839,5.50
father,4,1.0,3469767335860780,5.68
father,5,1.0,3837236320017254,5.31
father,6,1.0,3900114306097557,5.96
father,7,1.0,388893427542398,5.33
father,8,1.0,3147751626730959,5.31
father,9,1.0,9003463000329151,5.36
father,10,1.0,3325847555040834,5.56
lessthan,1,1.0,2950932341062333,8.38
lessthan,2,1.0,485076946613512,8.15
lessthan,3,1.0,2262522967616980,8.19
lessthan,4,1.0,5483589104326509,8.22
lessthan,5,1.0,6727079885140258,26.54
lessthan,6,1.0,376178263589778,27.46
lessthan,7,1.0,1284281168657047,8.41
lessthan,8,1.0,8084896336076332,8.26
lessthan,9,1.0,2884369417576543,8.43
lessthan,10,1.0,1706029203331368,8.84
member,1,1.0,4988326553422520,5.34
member,2,1.0,6888148663666282,5.73
member,3,1.0,7189655998950815,5.99
member,4,1.0,589618876662892,5.42
member,5,1.0,6551665171891450,5.23
member,6,1.0,5607387742865995,5.42
member,7,1.0,6950485762376520,5.37
member,8,1.0,7995825418609591,5.57
member,9,1.0,6231082024620975,5.61
member,10,1.0,5204434793845227,5.32
related,1,0.75,5395306694223542,22.87
related,2,0.75,1139479140859051,28.42
related,3,0.75,1748669492035509,34.13
related,4,0.75,8245600224711342,41.71
related,5,0.75,3377761834851777,46.64
related,6,0.75,8226749321573403,50.71
related,7,0.75,5144559188337929,53.90
related,8,0.75,1925874843086213,60.29
related,9,0.75,8771677781850063,63.65
related,10,0.75,1462888750033348,67.03
ue,1,1.0,1114887082069059,5.33
ue,2,1.0,8670841221009661,5.18
ue,3,1.0,2424862514512050,5.14
ue,4,1.0,4883200208083113,5.30
ue,5,1.0,138509873375617,36.82
ue,6,1.0,5689725114551597,5.41
ue,7,1.0,3433332554989104,5.29
ue,8,1.0,4644592296289466,5.29
ue,9,1.0,4127252738900667,5.71
ue,10,1.0,7542210830035615,5.34
pre,1,1.0,3705190063973446,6.06
pre,2,1.0,5955919820150222,6.41
pre,3,1.0,314784611454764,6.26
pre,4,1.0,5676464316820063,6.22
pre,5,1.0,733206336358590,6.23
